24-Sep-2014 12:53:10
Loading and Visualizing Data ...

Initializing Neural Network Parameters ...

Training Neural Network... 
Iteration    1 | Accuracy: 13.10 | Time:    144.7
Iteration    2 | Accuracy: 14.03 | Time:    290.7
Iteration    3 | Accuracy: 16.80 | Time:    505.6
Iteration    4 | Accuracy: 16.80 | Time:   2209.6
Iteration    5 | Accuracy: 17.56 | Time:   2442.8
Iteration    6 | Accuracy: 17.68 | Time:   2875.7
Iteration    7 | Accuracy: 17.83 | Time:   3186.2
Iteration    8 | Accuracy: 18.16 | Time:   3422.9
Iteration    9 | Accuracy: 33.78 | Time:   3569.0
Iteration   10 | Accuracy: 34.98 | Time:   3802.3
Iteration   11 | Accuracy: 34.20 | Time:   4022.2
Iteration   12 | Accuracy: 35.07 | Time:   4240.8
Iteration   13 | Accuracy: 35.07 | Time:   5821.0
Iteration   14 | Accuracy: 36.87 | Time:   6032.0
Iteration   15 | Accuracy: 36.71 | Time:   6314.0
Iteration   16 | Accuracy: 36.71 | Time:   7898.8
Iteration   17 | Accuracy: 37.40 | Time:   8111.7
Iteration   18 | Accuracy: 37.40 | Time:   9743.5
Iteration   19 | Accuracy: 37.65 | Time:  10095.2
Iteration   20 | Accuracy: 39.85 | Time:  10308.8
Iteration   21 | Accuracy: 39.85 | Time:  11870.1
Iteration   22 | Accuracy: 39.85 | Time:  13807.9
Iteration   23 | Accuracy: 39.85 | Time:  15802.9
Iteration   24 | Accuracy: 45.00 | Time:  16082.0
Iteration   25 | Accuracy: 45.33 | Time:  16481.3
Iteration   26 | Accuracy: 45.33 | Time:  18361.7
Iteration   27 | Accuracy: 47.19 | Time:  18576.2
Iteration   28 | Accuracy: 47.78 | Time:  18879.8
Iteration   29 | Accuracy: 47.78 | Time:  20779.1
Iteration   30 | Accuracy: 47.78 | Time:  22339.7
Iteration   31 | Accuracy: 49.81 | Time:  22568.3
Iteration   32 | Accuracy: 50.54 | Time:  22864.9
Iteration   33 | Accuracy: 50.54 | Time:  24843.5
Iteration   34 | Accuracy: 50.54 | Time:  26559.1
Iteration   35 | Accuracy: 50.54 | Time:  28419.5
Iteration   36 | Accuracy: 50.54 | Time:  30500.4
Iteration   37 | Accuracy: 51.27 | Time:  30809.6
Iteration   38 | Accuracy: 51.27 | Time:  32884.5
Iteration   39 | Accuracy: 51.27 | Time:  34934.1
Iteration   40 | Accuracy: 51.27 | Time:  36651.8
Iteration   41 | Accuracy: 52.23 | Time:  36910.7
Iteration   42 | Accuracy: 52.29 | Time:  37429.7
Iteration   43 | Accuracy: 52.29 | Time:  39056.6
Iteration   44 | Accuracy: 52.29 | Time:  40884.8
Iteration   45 | Accuracy: 52.98 | Time:  41181.1
Iteration   46 | Accuracy: 52.98 | Time:  43053.8
Iteration   47 | Accuracy: 52.98 | Time:  44674.4
Iteration   48 | Accuracy: 52.98 | Time:  46290.8
Iteration   49 | Accuracy: 52.98 | Time:  47918.8
Iteration   50 | Accuracy: 52.98 | Time:  49486.7
Iteration   51 | Accuracy: 53.00 | Time:  49773.0
Iteration   52 | Accuracy: 53.00 | Time:  51543.8
Iteration   53 | Accuracy: 53.00 | Time:  53362.7
Iteration   54 | Accuracy: 53.00 | Time:  55326.9
Iteration   55 | Accuracy: 53.00 | Time:  57050.3
Iteration   56 | Accuracy: 53.00 | Time:  58579.2
Iteration   57 | Accuracy: 53.00 | Time:  60108.6
Iteration   58 | Accuracy: 53.00 | Time:  61636.7
Iteration   59 | Accuracy: 53.49 | Time:  61915.0
