27-Sep-2014 14:56:32
Loading and Visualizing Data ...

Training Neural Network... 
Iteration    1 | Accuracy: 91.30 | Time:    210.8
Iteration    2 | Accuracy: 91.30 | Time:    489.5
Iteration    3 | Accuracy: 91.32 | Time:    672.2
Iteration    4 | Accuracy: 91.30 | Time:    951.2
Iteration    5 | Accuracy: 91.33 | Time:   1137.5
Iteration    6 | Accuracy: 91.32 | Time:   1417.6
Iteration    7 | Accuracy: 91.35 | Time:   1603.8
Iteration    8 | Accuracy: 91.32 | Time:   1884.1
Iteration    9 | Accuracy: 91.37 | Time:   2070.9
Iteration   10 | Accuracy: 91.31 | Time:   2350.6
Iteration   11 | Accuracy: 91.38 | Time:   2537.3
Iteration   12 | Accuracy: 91.30 | Time:   2817.2
Iteration   13 | Accuracy: 91.38 | Time:   3004.6
Iteration   14 | Accuracy: 91.31 | Time:   3284.2
Iteration   15 | Accuracy: 91.39 | Time:   3469.1
Iteration   16 | Accuracy: 91.33 | Time:   3746.4
Iteration   17 | Accuracy: 91.39 | Time:   3933.3
Iteration   18 | Accuracy: 91.34 | Time:   4213.0
Iteration   19 | Accuracy: 91.38 | Time:   4400.0
Iteration   20 | Accuracy: 91.33 | Time:   4679.6
Iteration   21 | Accuracy: 91.38 | Time:   4866.7
Iteration   22 | Accuracy: 91.33 | Time:   5146.8
Iteration   23 | Accuracy: 91.38 | Time:   5334.0
Iteration   24 | Accuracy: 91.34 | Time:   5614.0
Iteration   25 | Accuracy: 91.40 | Time:   5800.8
Iteration   26 | Accuracy: 91.37 | Time:   6080.6
Iteration   27 | Accuracy: 91.41 | Time:   6268.3
Iteration   28 | Accuracy: 91.38 | Time:   6548.1
Iteration   29 | Accuracy: 91.41 | Time:   6734.0
Iteration   30 | Accuracy: 91.38 | Time:   7013.8
Iteration   31 | Accuracy: 91.44 | Time:   7201.1
Iteration   32 | Accuracy: 91.40 | Time:   7481.6
Iteration   33 | Accuracy: 91.44 | Time:   7668.8
Iteration   34 | Accuracy: 91.43 | Time:   7951.1
Iteration   35 | Accuracy: 91.44 | Time:   8138.6
Iteration   36 | Accuracy: 91.44 | Time:   8419.1
Iteration   37 | Accuracy: 91.45 | Time:   8607.7
Iteration   38 | Accuracy: 91.45 | Time:   8889.3
Iteration   39 | Accuracy: 91.47 | Time:   9076.8
Iteration   40 | Accuracy: 91.46 | Time:   9358.2
Iteration   41 | Accuracy: 91.49 | Time:   9545.2
Iteration   42 | Accuracy: 91.46 | Time:   9827.7
Iteration   43 | Accuracy: 91.49 | Time:  10015.1
Iteration   44 | Accuracy: 91.46 | Time:  10295.7
Iteration   45 | Accuracy: 91.49 | Time:  10482.9
Iteration   46 | Accuracy: 91.49 | Time:  10763.7
Iteration   47 | Accuracy: 91.51 | Time:  10951.0
Iteration   48 | Accuracy: 91.49 | Time:  11231.0
Iteration   49 | Accuracy: 91.53 | Time:  11418.3
Iteration   50 | Accuracy: 91.49 | Time:  11699.0
Iteration   51 | Accuracy: 91.55 | Time:  11886.5
Iteration   52 | Accuracy: 91.53 | Time:  12167.6
Iteration   53 | Accuracy: 91.57 | Time:  12361.7
Iteration   54 | Accuracy: 91.56 | Time:  12642.3
Iteration   55 | Accuracy: 91.56 | Time:  12829.7
Iteration   56 | Accuracy: 91.55 | Time:  13110.3
